Hexagram Number,Hexagram Name,Binary Sequence,Judgment,Image,Lines,Keywords,Changing Lines,Commentary,Element,Astrological Association,Mythological Association,Affirmation
1,The Creative,111111,"The Creative works sublime success, furthering through perseverance.",The movement of heaven is full of power. Thus the superior man makes himself strong and untiring.,"{'line_1': 'Hidden dragon. Do not act.', 'line_2': 'Dragon appearing in the field. It furthers one to see the great man.', 'line_3': 'All day long the superior man is creatively active.', 'line_4': 'Wavering flight over the depths.', 'line_5': 'Flying dragon in the heavens.', 'line_6': 'Arrogant dragon will have cause to repent.'}","Creativity, strength, power",,,Heaven,Aries,Dragon,I am strong and creative.
2,The Receptive,000000,"The Receptive brings about sublime success, furthering through the perseverance of a mare.",The earth's condition is receptive devotion. Thus the superior man who has breadth of character carries the outer world.,"{'line_1': 'When there is hoarfrost underfoot, solid ice is not far off.', 'line_2': 'Straight, square, and great. Without purpose, yet nothing remains unfurthered.', 'line_3': 'Hidden lines. One is able to remain persevering.', 'line_4': 'A tied-up sack. No blame, no praise.', 'line_5': 'A yellow lower garment brings supreme good fortune.', 'line_6': 'Dragons fight in the meadow. Their blood is black and yellow.'}","Receptivity, patience, nurturing",,,Earth,Taurus,Earth,I am patient and nurturing.
3,Difficulty at the Beginning,010001,"Difficulty at the beginning works supreme success, furthering through perseverance. Nothing should be undertaken.",Clouds and thunder: the image of Difficulty at the Beginning. Thus the superior man brings order out of confusion.,"{'line_1': 'Hesitation and hindrance. It furthers one to remain persevering.', 'line_2': 'Difficulties pile up. Horse and wagon part. He is not a robber; he will woo at the right time.', 'line_3': 'Who overcomes by force must meet with repentance. Misfortune.', 'line_4': 'Perseverance brings good fortune. Remorse disappears.', 'line_5': 'A tree is born from a single seedling. Undertakings bring reward.', 'line_6': 'Horse and wagon part. Misfortune.'}","Difficulty, perseverance, patience",,,Water,Gemini,Thunder,I persevere through difficulties.
4,Youthful Folly,001010,"Youthful Folly has success. It is not I who seek the young fool; the young fool seeks me. At the first oracle, I inform him. If he asks two or three times, it is importunity. If he importunes, I give him no information.",A spring wells up at the foot of the mountain: the image of Youth. Thus the superior man fosters his character by thoroughness in all that he does.,"{'line_1': 'To make a fool develop it furthers one to apply discipline. The fetters should be removed.', 'line_2': 'To bear with fools in kindliness brings good fortune. To know how to take women brings good fortune. The son is capable of taking charge of the household.', 'line_3': 'Take not a maiden who, when she sees a man of bronze, loses possession of herself. Nothing furthers.', 'line_4': 'Entangled folly brings humiliation.', 'line_5': 'Childlike folly brings good fortune.', 'line_6': 'In punishing folly, it does not further one to commit transgressions.'}","Folly, learning, growth",,,Earth,Cancer,Spring,I grow and learn from folly.
5,Waiting,001100,"Waiting. If you are sincere, you have light and success. Perseverance brings good fortune. It furthers one to cross the great water.","Clouds rise up to heaven: the image of Waiting. Thus the superior man eats and drinks, is joyous and of good cheer.","{'line_1': 'Waiting in the meadow. It furthers one to abide in what endures. No blame.', 'line_2': 'Waiting on the sand. There is some gossip. The end brings good fortune.', 'line_3': 'Waiting in the mud brings about the arrival of the enemy.', 'line_4': 'Waiting in blood. Get out of the pit.', 'line_5': 'Waiting with food and drink. Perseverance brings good fortune.', 'line_6': 'One falls into the pit. Three uninvited guests arrive. Honor them, and in the end, there will be good fortune.'}","Waiting, patience, perseverance",,,Water,Leo,Clouds,I wait patiently and persevere.
46,Pushing Upward,001110,Pushing Upward has supreme success. One must see the great man. Fear not. Departure toward the south brings good fortune.,"Within the earth, wood grows: the image of Pushing Upward. Thus the superior man of devoted character heaps up small things in order to achieve something high and great.","{'line_1': 'Pushing upward that meets with confidence brings great good fortune.', 'line_2': 'If one is sincere, it furthers one to bring even a small offering. No blame.', 'line_3': 'One pushes upward into an empty city.', 'line_4': ""The king offers him Mount Ch'i. Good fortune. No blame."", 'line_5': 'Perseverance brings good fortune. One pushes upward by steps.', 'line_6': 'Pushing upward in darkness. It furthers one to be unremittingly persevering.'}","Pushing upward, perseverance, progress",,,Wood and Earth,Taurus,Progress,I push upward with perseverance and progress.
47,Oppression (Exhaustion),011010,"Oppression. Success. Perseverance. The great man brings good fortune. No blame. When one has something to say, it is not believed.",There is no water in the lake: the image of Exhaustion. Thus the superior man stakes his life on following his will.,"{'line_1': 'One sits oppressed under a bare tree and strays into a gloomy valley. For three years one sees nothing.', 'line_2': 'One is oppressed while at meat and drink. The man with the scarlet knee bands is just coming. It furthers one to offer sacrifice. To set forth brings misfortune. No blame.', 'line_3': 'A man permits himself to be oppressed by stone, and leans on thorns and thistles. He enters his house and does not see his wife. Misfortune.', 'line_4': 'He comes very quietly, oppressed in a golden carriage. Humiliation, but the end is reached.', 'line_5': 'His nose and feet are cut off. Oppression at the hands of the man with the purple knee bands. Joy comes softly. It furthers one to make offerings and libations.', 'line_6': ""He is oppressed by creeping vines. He moves uncertainly and says, 'Movement brings remorse.' If one feels remorse over this and makes a start, good fortune comes.""}","Oppression, perseverance, endurance",,,Lake and Water,Pisces,Endurance,I endure oppression with perseverance and strength.
48,The Well,011001,"The Well. The town may be changed, but the well cannot be changed. It neither decreases nor increases. They come and go and draw from the well. If one gets down almost to the water and the rope does not go all the way, or the jug breaks, it brings misfortune.","Water over wood: the image of The Well. Thus the superior man encourages the people at their work, and exhorts them to help one another.","{'line_1': 'One does not drink the mud of the well. No animals come to an old well.', 'line_2': 'At the wellhole one shoots fishes. The jug is broken and leaks.', 'line_3': ""The well is cleaned, but no one drinks from it. This is my heart's sorrow, for one might draw from it. If the king were clear-minded, good fortune might be enjoyed in common."", 'line_4': 'The well is being lined. No blame.', 'line_5': 'In the well there is a clear, cold spring from which one can drink.', 'line_6': 'One draws from the well without hindrance. It is dependable. Supreme good fortune.'}","The Well, resource, stability",,,Water and Wood,Cancer,Resource,I draw from the well of resources with stability.
49,Revolution (Molting),011110,Revolution. On your own day you are believed. Supreme success. Furthering through perseverance. Remorse disappears.,Fire in the lake: the image of Revolution. Thus the superior man sets the calendar in order and makes the seasons clear.,"{'line_1': 'Wrapped in the hide of a yellow cow.', 'line_2': ""When one's own day comes, one may create revolution. Starting brings good fortune. No blame."", 'line_3': 'Starting brings misfortune. Perseverance brings danger. When talk of revolution has gone the rounds three times, one may commit himself, and men will believe him.', 'line_4': 'Remorse disappears. Men believe him. Changing the form of government brings good fortune.', 'line_5': 'The great man changes like a tiger. Even before he questions the oracle he is believed.', 'line_6': 'The superior man changes like a panther. The inferior man molts in the face. Starting brings misfortune. To remain persevering brings good fortune.'}","Revolution, change, perseverance",,,Fire and Lake,Aquarius,Change,I embrace revolution with change and perseverance.
50,The Cauldron,101110,The Cauldron. Supreme good fortune. Success.,Fire over wood: the image of The Cauldron. Thus the superior man consolidates his fate by making his position correct.,"{'line_1': 'A cauldron with legs upturned. Favors are bestowed upon him.', 'line_2': 'There is food in the cauldron. My comrades are envious, but they cannot harm me. Good fortune.', 'line_3': 'The handle of the cauldron is changed. One is impeded in his way of life. The fat of the pheasant is not eaten. Once rain falls, remorse is spent. Good fortune comes in the end.', 'line_4': ""The legs of the cauldron are broken. The prince's meal is spilled and his person is soiled. Misfortune."", 'line_5': 'The cauldron has yellow handles, golden carrying rings. Perseverance furthers.', 'line_6': 'The cauldron has rings of jade. Great good fortune. Nothing that would not act to further.'}","The Cauldron, nourishment, success",,,Fire and Wood,Leo,Nourishment,I nourish myself and others with success.
